Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Jordan Poole,WAS,25,16,2,14,30.1,21.0,7.0,15.6,44.8,3.2,7.6,42.1,3.8,4.3,88.4,0.3,2.0,2.3,4.9,3.4,1.9,0.5,3.4,34.8,0.0,0.0,-11.8
Kyle Kuzma,WAS,29,12,1,11,27.5,15.8,6.3,15.1,42.0,1.3,4.8,27.6,1.8,2.7,68.8,0.7,4.9,5.6,1.9,2.4,0.4,0.3,1.9,25.0,1.0,0.0,-12.5
Malcolm Brogdon,WAS,32,7,0,7,24.0,14.6,5.4,9.9,55.1,0.7,2.0,35.7,3.0,3.4,87.5,0.9,3.7,4.6,2.9,1.6,0.6,0.3,2.4,25.3,2.0,0.0,-9.3
Bilal Coulibaly,WAS,20,17,2,15,35.1,12.6,4.6,9.6,48.2,1.0,3.2,30.9,2.4,3.1,75.5,1.5,3.8,5.4,2.8,1.9,1.3,0.6,2.4,27.2,0.0,0.0,-14.1
Jonas Valančiūnas,WAS,32,18,2,16,20.0,12.0,4.8,8.2,58.1,0.1,0.4,25.0,2.3,2.5,93.3,2.2,5.3,7.6,2.2,1.7,0.4,0.7,1.8,25.9,4.0,0.0,-5.4
Corey Kispert,WAS,25,18,2,16,28.7,11.3,4.2,10.0,41.7,1.9,6.2,31.5,1.0,1.2,81.8,0.4,3.1,3.5,1.4,1.2,0.7,0.1,1.7,18.8,0.0,0.0,-8.2
Alexandre Sarr,WAS,19,18,2,16,26.8,10.6,3.9,10.5,37.6,1.1,4.6,24.4,1.6,2.3,66.7,1.9,4.1,6.1,2.1,1.3,0.7,1.8,2.8,27.4,2.0,0.0,-12.9
Carlton Carrington,WAS,19,18,2,16,27.7,8.8,3.2,7.9,40.1,1.4,3.9,35.2,1.1,1.3,79.2,0.2,3.7,3.9,4.4,1.9,1.2,0.3,2.9,22.6,1.0,0.0,-12.2
Kyshawn George,WAS,21,18,2,16,27.0,7.9,2.8,8.2,34.0,1.3,5.3,25.3,1.1,1.4,73.1,0.7,3.3,4.0,2.7,1.1,0.7,0.7,3.3,19.9,0.0,0.0,-6.1
Jared Butler,WAS,24,13,1,12,7.8,4.3,1.5,3.3,46.5,0.1,0.5,16.7,1.2,1.6,71.4,0.2,0.5,0.6,2.2,0.5,0.5,0.2,1.0,9.7,0.0,0.0,1.0
Marvin Bagley III,WAS,25,12,2,10,5.6,3.5,1.4,2.8,50.0,0.0,0.4,0.0,0.7,0.9,72.7,1.0,1.3,2.3,0.3,0.6,0.2,0.1,0.1,6.7,0.0,0.0,1.1
Richaun Holmes,WAS,31,2,0,2,3.9,3.0,1.5,3.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,4.2,0.0,0.0,0.0
Johnny Davis,WAS,22,13,1,12,7.1,2.6,1.1,2.2,48.3,0.2,0.5,50.0,0.2,0.4,60.0,0.3,0.9,1.2,0.2,0.1,0.3,0.1,0.8,5.5,0.0,0.0,1.5
Patrick Baldwin Jr.,WAS,22,11,1,10,5.1,2.3,0.8,1.7,47.4,0.5,1.0,45.5,0.2,0.4,50.0,0.3,0.8,1.1,0.1,0.2,0.2,0.2,0.4,4.6,0.0,0.0,2.5
Anthony Gill,WAS,32,14,1,13,5.1,2.1,0.7,1.2,58.8,0.2,0.4,50.0,0.5,0.9,53.8,0.2,0.6,0.9,0.4,0.1,0.2,0.1,0.1,4.5,0.0,0.0,1.0
Justin Champagnie,WAS,23,2,0,2,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.5,2.0,0.0,0.0,6.0
